exeution_time,device_id,value
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,4
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,17
0,56e17b1d-e023-4449-981e-4139588ffc9b,44
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,80
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,78
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,49
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,46
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,47
1,56e17b1d-e023-4449-981e-4139588ffc9b,96
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,93
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,70
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,7
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,60
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,28
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,54
1,56e17b1d-e023-4449-981e-4139588ffc9b,72
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,62
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,75
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,73
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,17
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,35
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,46
1,56e17b1d-e023-4449-981e-4139588ffc9b,17
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,43
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,31
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,34
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,67
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,26
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,59
1,56e17b1d-e023-4449-981e-4139588ffc9b,56
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,95
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,68
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,58
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,67
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,24
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,59
0,56e17b1d-e023-4449-981e-4139588ffc9b,56
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,95
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,68
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,58
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,19
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,24
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,63
1,56e17b1d-e023-4449-981e-4139588ffc9b,31
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,69
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,65
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,87
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,89
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,22
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,10
1,56e17b1d-e023-4449-981e-4139588ffc9b,49
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,87
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,57
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,92
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,12
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,11
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,64
1,56e17b1d-e023-4449-981e-4139588ffc9b,21
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,43
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,36
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,88
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,86
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,22
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,76
0,56e17b1d-e023-4449-981e-4139588ffc9b,44
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,60
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,9
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,52
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,11
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-11
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,89
1,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,94
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,12
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,94
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,49
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,16
3,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,47
0,56e17b1d-e023-4449-981e-4139588ffc9b,34
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,70
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,12
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,94
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,49
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,32
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,47
1,56e17b1d-e023-4449-981e-4139588ffc9b,34
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,70
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,62
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,47
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,89
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,32
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,53
0,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,34
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,75
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,61
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,69
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,50
0,56e17b1d-e023-4449-981e-4139588ffc9b,70
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,20
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,33
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,91
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,16
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,41
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,38
0,56e17b1d-e023-4449-981e-4139588ffc9b,65
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,63
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,36
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,53
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,27
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,-6
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,23
1,56e17b1d-e023-4449-981e-4139588ffc9b,62
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,8
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,67
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,84
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,59
3,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,11
1,56e17b1d-e023-4449-981e-4139588ffc9b,33
2,9039ee3d-970b-41a5-a3c3-bdabb1c76354,52
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,95
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,57
3,186eed76-79c5-4129-9c1d-2ba78b6fa353,7
3,866bafbc-d6d4-4794-bbfe-25ac24c05753,11
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,51
1,56e17b1d-e023-4449-981e-4139588ffc9b,49
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,100
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,84
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,57
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,7
3,866bafbc-d6d4-4794-bbfe-25ac24c05753,33
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,51
0,56e17b1d-e023-4449-981e-4139588ffc9b,49
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,100
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,84
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,68
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,38
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,33
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,95
0,56e17b1d-e023-4449-981e-4139588ffc9b,8
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,47
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,27
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,86
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,62
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,-13
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,87
0,56e17b1d-e023-4449-981e-4139588ffc9b,15
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,30
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,25
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,15
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,26
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,44
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,81
0,56e17b1d-e023-4449-981e-4139588ffc9b,31
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,44
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,22
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,20
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,9
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,19
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,19
0,56e17b1d-e023-4449-981e-4139588ffc9b,64
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,57
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,25
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,100
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,43
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,42
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,82
1,56e17b1d-e023-4449-981e-4139588ffc9b,22
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,25
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,72
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,64
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,35
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,82
1,56e17b1d-e023-4449-981e-4139588ffc9b,22
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,25
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,72
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,64
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,10
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,23
0,56e17b1d-e023-4449-981e-4139588ffc9b,32
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,55
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,83
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,24
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,14
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,10
2,17cbbab5-1a52-4870-aa5b-848623449150,false
1,ce2210ea-d166-4c17-941d-0596cb56208d,62
1,56e17b1d-e023-4449-981e-4139588ffc9b,69
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,75
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,5
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,33
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,84
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,8
3,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,85
0,56e17b1d-e023-4449-981e-4139588ffc9b,54
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,89
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,24
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,60
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,88
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,27
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,19
0,56e17b1d-e023-4449-981e-4139588ffc9b,12
0,9039ee3d-970b-41a5-a3c3-bdabb1c76354,51
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,36
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,8
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,54
1,866bafbc-d6d4-4794-bbfe-25ac24c05753,42
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,22
1,56e17b1d-e023-4449-981e-4139588ffc9b,89
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,17
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,20
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,89
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,36
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,4
2,17cbbab5-1a52-4870-aa5b-848623449150,true
0,ce2210ea-d166-4c17-941d-0596cb56208d,10
1,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,38
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,78
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,49
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,33
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
2,17cbbab5-1a52-4870-aa5b-848623449150,false
0,ce2210ea-d166-4c17-941d-0596cb56208d,10
0,56e17b1d-e023-4449-981e-4139588ffc9b,33
1,9039ee3d-970b-41a5-a3c3-bdabb1c76354,38
1,4c6c0714-82ae-4b99-9565-88f366bb48ed,78
1,e05f44a3-aecb-495e-a607-ae55ab029b6d,49
1,186eed76-79c5-4129-9c1d-2ba78b6fa353,33
2,866bafbc-d6d4-4794-bbfe-25ac24c05753,48
2,17cbbab5-1a52-4870-aa5b-848623449150,false
1,ce2210ea-d166-4c17-941d-0596cb56208d,17
1,56e17b1d-e023-4449-981e-4139588ffc9b,85
2,9039ee3d-970b-41a5-a3c3-bdabb1c76354,92
2,4c6c0714-82ae-4b99-9565-88f366bb48ed,33
2,e05f44a3-aecb-495e-a607-ae55ab029b6d,56
2,186eed76-79c5-4129-9c1d-2ba78b6fa353,85
3,866bafbc-d6d4-4794-bbfe-25ac24c05753,-4
